0 PION_5 a a a a 0.25481 0.00067         
1 PION_05 a a a a 0.2957 0.0029          
2 PION_i5 a a a a 0.29869 0.00074         
3 PION_ij a a a a 0.3307 0.0028          
4 PION_i0 a a a a 0.3345 0.0024          
5 PION_i a a a a 0.3640 0.0045          
6 PION_0 a a a a 0.3674 0.0033                        
7 PION_s a a a a 0.398 0.017           
0 PION_5 a a a a 0.12675 0.00046
1 PION_05 a a a a 0.12888 0.00053
2 PION_i5 a a a a 0.15044 0.00061
3 PION_ij a a a a 0.1522 0.0012 
4 PION_i0 a a a a 0.17080 0.00084         
5 PION_i a a a a 0.1697 0.0022          
6 PION_0 a a a a 0.1889 0.0027          
7 PION_s a a a a 0.204 0.015           
0 PION_5 a a a a 0.06323 0.00029         
1 PION_05 a a a a 0.06363 0.00032         
2 PION_i5 a a a a 0.07556 0.00047         
3 PION_ij a a a a 0.07675 0.00047         
4 PION_i0 a a a a 0.08617 0.00056         
5 PION_i a a a a 0.0860 0.0011          
6 PION_0 a a a a 0.09619 0.00056         
7 PION_s a a a a 0.0967 0.0034
