PBP: mass 1.400000e-02     1.221624e-02  1.152281e-02  2.957137e-03  2.957127e-03 ( 1 of 1 )
PBP: mass 1.400000e-02     1.188408e-02  1.281958e-02  -4.372814e-04  -4.374108e-04 ( 1 of 1 )
PBP: mass 1.400000e-02     1.207437e-02  1.337599e-02  6.750767e-04  6.750503e-04 ( 1 of 1 )
PBP: mass 1.400000e-02     1.389163e-02  1.205719e-02  6.155239e-04  6.156729e-04 ( 1 of 1 )
PBP: mass 1.400000e-02     1.211899e-02  1.491607e-02  3.276241e-05  3.269428e-05 ( 1 of 1 )
PBP: mass 1.400000e-02     1.614278e-02  1.172843e-02  -8.950515e-04  -8.950644e-04 ( 1 of 1 )
PBP: mass 1.400000e-02     1.059264e-02  1.910584e-02  -3.384876e-03  -3.384957e-03 ( 1 of 1 )
PBP: mass 1.400000e-02     1.531630e-02  1.569336e-02  2.053569e-03  2.053605e-03 ( 1 of 1 )
PBP: mass 1.400000e-02     1.784396e-02  1.464502e-02  -1.025793e-04  -1.027142e-04 ( 1 of 1 )
PBP: mass 1.400000e-02     1.793306e-02  1.617314e-02  9.284175e-04  9.280348e-04 ( 1 of 1 )
PBP: mass 1.400000e-02     1.823258e-02  1.655873e-02  1.830871e-03  1.830887e-03 ( 1 of 1 )
PBP: mass 1.400000e-02     1.810912e-02  1.681374e-02  -4.735946e-04  -4.731660e-04 ( 1 of 1 )
PBP: mass 1.400000e-02     1.845698e-02  2.322429e-02  -3.552414e-03  -3.552028e-03 ( 1 of 1 )
PBP: mass 1.400000e-02     1.959088e-02  1.861571e-02  2.540783e-03  2.540976e-03 ( 1 of 1 )
PBP: mass 1.400000e-02     1.975997e-02  2.143242e-02  2.090304e-03  2.090176e-03 ( 1 of 1 )
PBP: mass 1.400000e-02     2.293196e-02  1.843857e-02  2.747865e-03  2.747885e-03 ( 1 of 1 )
PBP: mass 1.400000e-02     2.167216e-02  2.281164e-02  -1.949653e-03  -1.949729e-03 ( 1 of 1 )
PBP: mass 1.400000e-02     2.201332e-02  2.239626e-02  2.182519e-03  2.182549e-03 ( 1 of 1 )
PBP: mass 1.400000e-02     1.768198e-02  2.817825e-02  4.790601e-03  4.790510e-03 ( 1 of 1 )
