beta = 6.9

w clover x_0 =  3.4044159584938365  +-  0.0026448112946823193   w_0s =  0.5903036155770737  +-  0.0003641827235154718
w i_clover x_0 =  2.7434234412109184  +-  0.01014610834424696   w_0s =  0.493988023072793  +-  0.001656109131626943
w wilson x_0 =  3.192875462085249  +-  0.0035339069454789988   w_0s =  0.5534374644480394  +-  0.00048088146850624504
w symanzik x_0 =  3.164991023323915  +-  0.004934327690230932   w_0s =  0.5450614885458722  +-  0.0006181172390561338
s clover x_0 =  3.850830764003755  +-  0.003817984314647089   w_0s =  0.6289824780427512  +-  0.0005690767742398394
s i_clover x_0 =  3.2363056240109787  +-  0.0027997923519026756   w_0s =  0.5394841446348005  +-  0.00039173141885137425
s wilson x_0 =  3.5009657701487833  +-  0.0028683024195357986   w_0s =  0.5719448039825596  +-  0.0004931240667870257
s symanzik x_0 =  3.374221315092355  +-  0.003961820934608258   w_0s =  0.55517653947341  +-  0.00043667442915155643
z clover x_0 =  3.793672587126918  +-  0.0023833190100749787   w_0s =  0.6127224330446795  +-  0.00048133977375168773
z i_clover x_0 =  3.1836704465896744  +-  0.002358015373505355   w_0s =  0.5239225587207732  +-  0.0003679379176180056
z wilson x_0 =  3.5783417924482683  +-  0.002977461238432873   w_0s =  0.5687680543432768  +-  0.0006342793525762171
z symanzik x_0 =  3.5328222558922575  +-  0.0040353900311878785   w_0s =  0.5571122949058875  +-  0.0006650539477153349

beta = 7.0

w clover x_0 =  3.4449644268379713  +-  0.00369027115923495   w_0s =  0.7282688184897752  +-  0.0007245707202213979
w i_clover x_0 =  2.9470775370994438  +-  0.006834432328861763   w_0s =  0.6455364991099757  +-  0.0016457192010661417
w wilson x_0 =  3.3980702978574904  +-  0.00524633495270649   w_0s =  0.7100456374116169  +-  0.0008620383411419945
w symanzik x_0 =  3.4316486382548015  +-  0.006277140666590178   w_0s =  0.7084752282497747  +-  0.0009269748758609087

beta = 7.1

w clover x_0 =  3.464850628764521  +-  0.005139325675722999   w_0s =  0.8983950813558617  +-  0.0012691353110587898
w i_clover x_0 =  3.1230045980436762  +-  0.0034865808431886838   w_0s =  0.825631429412765  +-  0.0011483076669133849
w wilson x_0 =  3.4196144180787216  +-  0.005299053079238179   w_0s =  0.880160662891063  +-  0.0013265998627556572
w symanzik x_0 =  3.427575059637249  +-  0.0057927933364729615   w_0s =  0.8775294883439496  +-  0.001384339852555517

beta = 7.2

w clover x_0 =  3.496850635357549  +-  0.006034800885528022   w_0s =  1.1030708783043233  +-  0.0015983829336900731
w i_clover x_0 =  3.2506026273812965  +-  0.005763122774350283   w_0s =  1.0373118940678616  +-  0.0019789534043753664
w wilson x_0 =  3.4279109534431136  +-  0.0052093558176588015   w_0s =  1.0807449706996328  +-  0.0019139474765472583
w symanzik x_0 =  3.4174251260556288  +-  0.005368809343319915   w_0s =  1.0753026818505824  +-  0.0019219542210743223

beta = 7.3

w clover x_0 =  3.524126431643167  +-  0.009656392872472684   w_0s =  1.3486924415832626  +-  0.002738002086657413
w i_clover x_0 =  3.3127172036476553  +-  0.007297198792847778   w_0s =  1.2880671297345874  +-  0.002853946726980655
w wilson x_0 =  3.4283925663709853  +-  0.006594035867049049   w_0s =  1.3183924537594138  +-  0.003150692645102657
w symanzik x_0 =  3.4071775244670106  +-  0.006518817405231223   w_0s =  1.3114257168427428  +-  0.003009055356051743

