CHECK PLAQ: 1.3871288148174401e+00 2.0674961345403369e+00
CHECK PLAQ: 1.3942733515368104e+00 2.0661902824440150e+00
CHECK PLAQ: 1.3893760094799859e+00 2.0660601556441711e+00
CHECK PLAQ: 1.3882611670721967e+00 2.0647276770312732e+00
CHECK PLAQ: 1.3902656873586430e+00 2.0633892513644208e+00
CHECK PLAQ: 1.3882805929888367e+00 2.0658094677772190e+00
CHECK PLAQ: 1.3894181694165535e+00 2.0678278743375795e+00
CHECK PLAQ: 1.3854003068469671e+00 2.0642448558670630e+00
CHECK PLAQ: 1.3877138790602555e+00 2.0655160163565824e+00
CHECK PLAQ: 1.3890330465028116e+00 2.0659807780592065e+00
CHECK PLAQ: 1.3915666479588602e+00 2.0670357121912204e+00
CHECK PLAQ: 1.3939924684704463e+00 2.0695813287480207e+00
CHECK PLAQ: 1.3912974275672969e+00 2.0682086625455152e+00
CHECK PLAQ: 1.4012165686439653e+00 2.0723613168699946e+00
CHECK PLAQ: 1.3878765433659206e+00 2.0660695897298957e+00
CHECK PLAQ: 1.3877841879622916e+00 2.0657115218040523e+00
CHECK PLAQ: 1.3870843134084112e+00 2.0650988409119346e+00
CHECK PLAQ: 1.3839832274763062e+00 2.0663277752742140e+00
CHECK PLAQ: 1.3771981387680015e+00 2.0626960550546993e+00
CHECK PLAQ: 1.3821643677775997e+00 2.0687755267329728e+00
CHECK PLAQ: 1.3942545553524603e+00 2.0688642441669836e+00
CHECK PLAQ: 1.3874103832290026e+00 2.0656478284476800e+00
CHECK PLAQ: 1.3918101880272200e+00 2.0694629476319140e+00
CHECK PLAQ: 1.3897050229067254e+00 2.0658281478614193e+00
CHECK PLAQ: 1.3886406585450597e+00 2.0671395251055253e+00
CHECK PLAQ: 1.3884550457425602e+00 2.0652313717887361e+00
CHECK PLAQ: 1.3862640191035716e+00 2.0649653411713049e+00
CHECK PLAQ: 1.3903417449296456e+00 2.0672458407484053e+00
CHECK PLAQ: 1.3863637943335096e+00 2.0644646740363881e+00
CHECK PLAQ: 1.3834918630212218e+00 2.0627418331674554e+00
CHECK PLAQ: 1.3846448201631782e+00 2.0633479219872126e+00
CHECK PLAQ: 1.3887876700051975e+00 2.0667524463611353e+00
CHECK PLAQ: 1.3902173248183702e+00 2.0683742547524648e+00
CHECK PLAQ: 1.3884071353195342e+00 2.0664966214302907e+00
CHECK PLAQ: 1.3936107198163192e+00 2.0673082880849130e+00
CHECK PLAQ: 1.3938296378459050e+00 2.0696917043675378e+00
CHECK PLAQ: 1.3886145410249415e+00 2.0665198655185142e+00
CHECK PLAQ: 1.3832623831355193e+00 2.0663102871432599e+00
CHECK PLAQ: 1.3955819523133162e+00 2.0678202287677014e+00
CHECK PLAQ: 1.3858690763677535e+00 2.0680334650940346e+00
CHECK PLAQ: 1.3880508006844048e+00 2.0666631813569141e+00
CHECK PLAQ: 1.3866037457640807e+00 2.0655018738638744e+00
CHECK PLAQ: 1.3844103216677759e+00 2.0671603658075099e+00
CHECK PLAQ: 1.3964031045025622e+00 2.0719951998060284e+00
CHECK PLAQ: 1.3921473246540710e+00 2.0674632087596145e+00
CHECK PLAQ: 1.3872497989591703e+00 2.0662563947353880e+00
CHECK PLAQ: 1.3910232651593282e+00 2.0674355716988058e+00
CHECK PLAQ: 1.3874025229137239e+00 2.0671170321327188e+00
CHECK PLAQ: 1.4004433087540329e+00 2.0708536475037076e+00
CHECK PLAQ: 1.3918611727772647e+00 2.0683675856568216e+00
CHECK PLAQ: 1.3903607088275141e+00 2.0695615775184444e+00
CHECK PLAQ: 1.3868430161133851e+00 2.0662806834665131e+00
CHECK PLAQ: 1.3969802690218094e+00 2.0670651500246016e+00
CHECK PLAQ: 1.3873700771707054e+00 2.0667625612327822e+00
CHECK PLAQ: 1.3859270036032683e+00 2.0673804817071422e+00
CHECK PLAQ: 1.3908506788181914e+00 2.0684565616825874e+00
CHECK PLAQ: 1.3880259973189431e+00 2.0670895650677727e+00
CHECK PLAQ: 1.3962453220598103e+00 2.0693322778073959e+00
CHECK PLAQ: 1.3936381801337669e+00 2.0701123900835339e+00
CHECK PLAQ: 1.3884489465277190e+00 2.0651980346571031e+00
CHECK PLAQ: 1.3818192350554117e+00 2.0619042897414483e+00
CHECK PLAQ: 1.3976947815674012e+00 2.0696661235298346e+00
CHECK PLAQ: 1.3915387149949610e+00 2.0668014679160929e+00
CHECK PLAQ: 1.3865965911472828e+00 2.0625441900210757e+00
CHECK PLAQ: 1.3924652995553195e+00 2.0679252547159170e+00
CHECK PLAQ: 1.3871210919079970e+00 2.0671582518957514e+00
CHECK PLAQ: 1.3933558272479321e+00 2.0665129912473739e+00
CHECK PLAQ: 1.3874949225650577e+00 2.0638068000422281e+00
CHECK PLAQ: 1.3882038176830687e+00 2.0690843729167199e+00
CHECK PLAQ: 1.3929437571028149e+00 2.0692411199626193e+00
CHECK PLAQ: 1.3863667882264490e+00 2.0658278127866740e+00
CHECK PLAQ: 1.3872364834178914e+00 2.0652987664015008e+00
CHECK PLAQ: 1.3871358270017469e+00 2.0641729085115847e+00
CHECK PLAQ: 1.3914733465693123e+00 2.0713216183570249e+00
CHECK PLAQ: 1.3825551121292647e+00 2.0659304477821512e+00
CHECK PLAQ: 1.3795673051125288e+00 2.0663867257945787e+00
CHECK PLAQ: 1.3798429099851710e+00 2.0636715025759313e+00
CHECK PLAQ: 1.3908862223015008e+00 2.0676934575693946e+00
CHECK PLAQ: 1.3951910936275465e+00 2.0716605414828426e+00
CHECK PLAQ: 1.3901797111833047e+00 2.0694050857010460e+00
CHECK PLAQ: 1.3903179399065964e+00 2.0667360465029034e+00
CHECK PLAQ: 1.3926318927144383e+00 2.0694169649145731e+00
CHECK PLAQ: 1.3836522945575032e+00 2.0679393100755141e+00
CHECK PLAQ: 1.3808016810753865e+00 2.0629947091992946e+00
CHECK PLAQ: 1.3850990484362171e+00 2.0650346484181092e+00
CHECK PLAQ: 1.3869324594872150e+00 2.0651592218419101e+00
CHECK PLAQ: 1.3914865299839729e+00 2.0706916289958515e+00
CHECK PLAQ: 1.3877219298748338e+00 2.0658931899816930e+00
CHECK PLAQ: 1.3882963083965025e+00 2.0677315326651211e+00
CHECK PLAQ: 1.3904818357094300e+00 2.0673363325730327e+00
CHECK PLAQ: 1.3942509132477012e+00 2.0736194502958170e+00
CHECK PLAQ: 1.3874680307487093e+00 2.0670384944587012e+00
CHECK PLAQ: 1.3914423463059638e+00 2.0675656171899837e+00
CHECK PLAQ: 1.3882579901098175e+00 2.0657774417516923e+00
CHECK PLAQ: 1.3956869797724052e+00 2.0695860162735822e+00
CHECK PLAQ: 1.3972611993712984e+00 2.0723648647516870e+00
CHECK PLAQ: 1.3904654621120465e+00 2.0662274596910222e+00
CHECK PLAQ: 1.3845771203841055e+00 2.0643300107541638e+00
CHECK PLAQ: 1.3896324405511791e+00 2.0668086498134772e+00
CHECK PLAQ: 1.3905059826409267e+00 2.0682333536755162e+00
CHECK PLAQ: 1.3914067053365782e+00 2.0681528559527926e+00
CHECK PLAQ: 1.3915434721966768e+00 2.0682454876833014e+00
CHECK PLAQ: 1.3838526705200589e+00 2.0668835680110988e+00
CHECK PLAQ: 1.3926141155233058e+00 2.0655963608223531e+00
CHECK PLAQ: 1.3799931339378915e+00 2.0654021568312539e+00
CHECK PLAQ: 1.3898957174412321e+00 2.0650112252594481e+00
CHECK PLAQ: 1.3895158785434187e+00 2.0660309895042310e+00
CHECK PLAQ: 1.3833161177916082e+00 2.0632189535715950e+00
CHECK PLAQ: 1.3894408924930344e+00 2.0681173683636263e+00
CHECK PLAQ: 1.3920329293133158e+00 2.0678140426306961e+00
CHECK PLAQ: 1.3895531335349534e+00 2.0679144801022753e+00
CHECK PLAQ: 1.3919018129968161e+00 2.0655824870300710e+00
CHECK PLAQ: 1.3875069529023785e+00 2.0636746043596550e+00
CHECK PLAQ: 1.3851760280173167e+00 2.0685713981170739e+00
CHECK PLAQ: 1.3794771358972404e+00 2.0653732095044606e+00
CHECK PLAQ: 1.3846589350153415e+00 2.0671180205490214e+00
